created_at,tweets,topic,frame,topic_justification,frame_justification,sentiment
2024-12-13 10:28:54+00:00,"The world has known this for a decade... Now, even META knows...",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-13 07:03:01+00:00,"RT @BJP4India: PM Shri @narendramodi performs pooja and darshan at Sangam in Prayagraj, Uttar Pradesh.",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-11 11:57:19+00:00,RT @BJP4India: PM Shri @narendramodi interacts with participants of Smart India Hackathon 2024.,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.4019
2024-12-29 11:55:22+00:00,RT @BJP4India: Rs 1.27 lakh crore. India's defence production hits a new high in 2024.,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.1027
2024-12-23 08:59:59+00:00,RT @BJP4India: LIVE: Shri @rsprasad addresses a press conference at BJP headquarters in New Delhi.,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-31 14:31:00+00:00,Looking back at 2024: A Year of Achievements for India!,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-12-31 11:57:22+00:00,"RT @BJP4India: Adios, 2024. You'll be remembered as the year India took a stronger step towards",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.3818
2024-10-06 12:21:45+00:00,Congratulations! I am sure you will give your best as you always do and mobilise huge support for BJP and MahaYuti. @BJP4Maharashtra @KiritSomaiya,Infrastructure & Transport,Making promises,"Mentions port, which signals the 'Infrastructure & Transport' domain. The tweet’s core content revolves around this policy area.","Future-tense commitment markers appear (e.g., 'will', 'guarantee', 'ensure'). The tweet frames the topic around pledged action.",0.9402
2024-11-20 03:48:37+00:00,"For a prosperous, progressive, and developed Maharashtra, Cast your vote! Participate in the festival of democracy!",Law & Order / Corruption & Governance,Neutral,"Mentions ed , which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.7835
2024-11-16 05:08:30+00:00,"In conversation with The Hindu, spoke about the Congress manifesto, vote jihad and much more... Read on... @the_hindu",Elections & Campaigning,Neutral,"Mentions manifesto, vote, which signals the 'Elections & Campaigning' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-11-16 03:11:37+00:00,"Sharing insights on Ladki Bahin Yojana, target seats of 2024, and equation of MahaYuti. Read my interview in Hindustan Times. @htTweets",Welfare & Social Schemes,Neutral,"Mentions yojana, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.4215
2024-11-16 03:06:05+00:00,"In a conversation with 'Times of India', I spoke on BJP-NCP meet, MahaYuti's face for CM, Maratha reservation and more... Read on... @timesofindia",Welfare & Social Schemes,Neutral,"Mentions reservation, which signals the 'Welfare & Social Schemes' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-11-15 09:32:56+00:00,"Batenge toh katenge, ek hai toh safe hai' Do read my interview with 'Indian Express' on Maharashtra elections, Congress' divisive approach and farmers. @IndianExpress",Agriculture & Farmers,Neutral,"Mentions farmer, which signals the 'Agriculture & Farmers' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.4404
2024-11-15 08:08:25+00:00,"Jeena yahan marna yahan, BJP ke alawa jana kaha... My interview with The Free Press Journal on Maharashtra elections, MVA, and their 'Vote Jihad'. Read on... @fpjindia",Elections & Campaigning,Neutral,"Mentions election, vote, which signals the 'Elections & Campaigning' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.5106
2024-11-12 17:11:21+00:00,RT @narendramodi: A special welcome in Solapur. Thankful to the people for their affection.,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9153
2024-10-14 16:47:08+00:00,"Thank You, CG Kobbi Shoshani for experiencing this seamless travel in the Aqualine Metro 3. Your appreciation of this transformative project is encouraging. We are honoured to welcome you aboard this journey towards a smarter and greener future! @KobbiShoshani",Infrastructure & Transport,Neutral,"Mentions metro, which signals the 'Infrastructure & Transport' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.9571
2024-10-14 13:42:32+00:00,Soothing vibes! When the kids and youth flawlessly chanted the Gayatri Mantra and shloks with the global leader Hon PM Narendra Modi ji in Laos.. @narendramodi,Education & Youth,Neutral,"Mentions youth, which signals the 'Education & Youth' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.5255
2024-10-11 06:57:45+00:00,Maharashtra's digital future is safer with the 'Maha Cyber - Maharashtra Cyber Security Project!' @MahaCyber1,Law & Order / Corruption & Governance,Neutral,"Mentions security, which signals the 'Law & Order / Corruption & Governance' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.6696
2024-11-26 10:39:09+00:00,"Thank you so much for the kind wishes, my friend Goa CM Dr. Pramod Sawant, BJP Goa President MP Sadanand Shet Tanavade, and Goa Assembly Speaker Ramesh Tawadkar ji. @DrPramodPSawant @ShetSadanand @rameshtawadkar",Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.8658
2024-10-28 20:06:45+00:00,My complete interaction at Tv9 Bharatvarsh - What India Thinks Today (WITT) - Satta Sammelan Maharashtra. @TV9Bharatvarsh @hemantsharma360,Public Services & Urban Civic,Neutral,Keywords and phrasing align with 'Public Services & Urban Civic'. The tweet’s main focus is most consistent with this policy area.,"No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
2024-10-27 06:35:57+00:00,"Some photos/visuals from nomination filing process for South West Nagpur assembly constituency, for",Elections & Campaigning,Neutral,"Mentions constituency, nomination, which signals the 'Elections & Campaigning' domain. The tweet’s core content revolves around this policy area.","No strong praise/criticism/promise signals detected. The wording reads informational or ceremonial, hence neutral.",0.0
